Original;Remix;Total;Clones_Original;Clones_Only_Remix;Clones_Between_Projects
98520080.sb;98531198.sb;2;2;0;0
98520080.sb;98531207.sb;2;2;0;0
98520080.sb;98531210.sb;2;2;0;0
98520080.sb;98531211.sb;2;2;0;0
98515480.sb;98531214.sb;0;0;0;0
98520080.sb;98531247.sb;4;2;2;0
98520080.sb;98531443.sb;4;2;2;0
98527933.sb;98531471.sb;0;0;0;0
98520221.sb;98531635.sb;1;1;0;0
98514721.sb;98531824.sb;0;0;0;0
98518648.sb;98531987.sb;0;0;0;0
98531635.sb;98532650.sb;2;0;1;1
98531471.sb;98533005.sb;0;0;0;0
98533005.sb;98533208.sb;0;0;0;0
98514479.sb;98533214.sb;0;0;0;0
98509813.sb;98535154.sb;2;0;1;1
98517560.sb;98535308.sb;32;7;22;3
98505348.sb;98535328.sb;1211;314;680;217
98507847.sb;98535360.sb;0;0;0;0
98516082.sb;98536097.sb;0;0;0;0
98500425.sb;98536098.sb;150;87;57;6
98437499.sb;98536226.sb;41;1;40;0
98531798.sb;98536560.sb;0;0;0;0
98097262.sb;98536740.sb;0;0;0;0
98533214.sb;98536882.sb;0;0;0;0
98533208.sb;98537179.sb;0;0;0;0
98520304.sb;98537354.sb;0;0;0;0
98514870.sb;98537464.sb;0;0;0;0
98511035.sb;98537952.sb;1;0;1;0
98254875.sb;98538310.sb;4;0;4;0
98534561.sb;98538444.sb;1;1;0;0
98509177.sb;98538702.sb;0;0;0;0
98537179.sb;98539081.sb;0;0;0;0
98539081.sb;98539181.sb;0;0;0;0
98110451.sb;98539361.sb;0;0;0;0
98539032.sb;98539377.sb;32;13;18;1
98536226.sb;98539420.sb;98;40;44;14
98473705.sb;98539610.sb;0;0;0;0
98539181.sb;98539663.sb;0;0;0;0
98537952.sb;98539746.sb;1;1;0;0
98535308.sb;98539869.sb;49;22;22;5
98484841.sb;98539923.sb;0;0;0;0
98539663.sb;98539964.sb;0;0;0;0
98539420.sb;98540073.sb;105;44;44;17
98520344.sb;98540360.sb;171;67;67;37
98540360.sb;98540446.sb;171;67;67;37
98539869.sb;98541603.sb;64;22;34;8
98539685.sb;98541676.sb;0;0;0;0
98525059.sb;98541891.sb;0;0;0;0
98541680.sb;98542272.sb;0;0;0;0
98483123.sb;98542707.sb;406;153;153;100
98539377.sb;98543164.sb;43;18;25;0
98370695.sb;98543303.sb;492;281;172;39
98540581.sb;98543322.sb;24;8;12;4
98537003.sb;98543511.sb;0;0;0;0
98528008.sb;98544248.sb;3;1;2;0
97743627.sb;98544405.sb;531;346;106;79
98542622.sb;98544548.sb;798;425;235;138
98543164.sb;98544850.sb;60;25;33;2
98515709.sb;98544930.sb;2;0;2;0
98372351.sb;98545283.sb;8;4;4;0
98521267.sb;98545775.sb;4;2;2;0
98537869.sb;98546348.sb;792;67;606;119
98538407.sb;98546514.sb;98;41;41;16
98504223.sb;98547046.sb;0;0;0;0
98545251.sb;98547097.sb;329;178;112;39
98540218.sb;98548239.sb;0;0;0;0
98547544.sb;98548332.sb;0;0;0;0
98545917.sb;98549509.sb;16;0;16;0
98415007.sb;98549727.sb;15;15;0;0
98532331.sb;98550022.sb;211;93;94;24
98544947.sb;98550188.sb;325;169;91;65
98513378.sb;98550413.sb;14;6;6;2
98507090.sb;98550577.sb;0;0;0;0
98538702.sb;98550699.sb;0;0;0;0
98540063.sb;98550810.sb;14;5;9;0
98536097.sb;98550958.sb;0;0;0;0
98550022.sb;98551024.sb;215;94;97;24
98541939.sb;98551081.sb;32;12;12;8
98548663.sb;98551160.sb;0;0;0;0
98551160.sb;98551788.sb;0;0;0;0
96778970.sb;98551821.sb;34;17;17;0
97828454.sb;98552265.sb;0;0;0;0
98547544.sb;98552684.sb;0;0;0;0
98488124.sb;98552691.sb;245;118;81;46
98551995.sb;98553410.sb;0;0;0;0
98551827.sb;98553535.sb;0;0;0;0
98003055.sb;98554153.sb;39;39;0;0
98528687.sb;98554225.sb;0;0;0;0
98550699.sb;98554325.sb;0;0;0;0
98554134.sb;98554597.sb;0;0;0;0
98553742.sb;98554819.sb;0;0;0;0
98554325.sb;98554825.sb;0;0;0;0
98553495.sb;98554839.sb;146;99;15;32
98551326.sb;98554848.sb;0;0;0;0
98554597.sb;98554861.sb;0;0;0;0
98554861.sb;98555070.sb;0;0;0;0
98547168.sb;98555148.sb;293;136;115;42
98555070.sb;98555255.sb;0;0;0;0
98555255.sb;98555322.sb;0;0;0;0
